sentence_id,words,tags
0,Thousands,O
0,of,O
0,demonstrators,O
0,have,O
0,marched,O
0,through,O
0,London,B-geo
0,to,O
0,protest,O
0,the,O
0,war,O
0,in,O
0,Iraq,B-geo
0,and,O
0,demand,O
0,the,O
0,withdrawal,O
0,of,O
0,British,B-gpe
0,troops,O
0,from,O
0,that,O
0,country,O
0,.,O
2,Helicopter,O
2,gunships,O
2,Saturday,B-tim
2,pounded,O
2,militant,O
2,hideouts,O
2,in,O
2,the,O
2,Orakzai,B-geo
2,tribal,O
2,region,O
2,",",O
2,where,O
2,many,O
2,Taliban,B-org
2,militants,O
2,are,O
2,believed,O
2,to,O
2,have,O
2,fled,O
2,to,O
2,avoid,O
2,an,O
2,earlier,O
2,military,O
2,offensive,O
2,in,O
2,nearby,O
2,South,B-geo
2,Waziristan,I-geo
2,.,O
3,They,O
3,left,O
3,after,O
3,a,O
3,tense,O
3,hour-long,O
3,standoff,O
3,with,O
3,riot,O
3,police,O
3,.,O
4,U.N.,B-geo
4,relief,O
4,coordinator,O
4,Jan,B-per
4,Egeland,I-per
4,said,O
4,Sunday,B-tim
4,",",O
4,U.S.,B-geo
4,",",O
4,Indonesian,B-gpe
4,and,O
4,Australian,B-gpe
4,military,O
4,helicopters,O
4,are,O
4,ferrying,O
4,out,O
4,food,O
4,and,O
4,supplies,O
4,to,O
4,remote,O
4,areas,O
4,of,O
4,western,O
4,Aceh,B-geo
4,province,O
4,that,O
4,ground,O
4,crews,O
4,can,O
4,not,O
4,reach,O
4,.,O
5,Mr.,B-per
5,Egeland,I-per
5,said,O
5,the,O
5,latest,O
5,figures,O
5,show,O
5,1.8,O
5,million,O
5,people,O
5,are,O
5,in,O
5,need,O
5,of,O
5,food,O
5,assistance,O
5,-,O
5,with,O
5,the,O
5,need,O
5,greatest,O
5,in,O
5,Indonesia,B-tim
5,",",O
5,Sri,B-per
5,Lanka,B-gpe
5,",",O
5,the,O
5,Maldives,B-geo
5,and,O
5,India,B-geo
5,.,O
6,He,O
6,said,O
6,last,O
6,week,O
6,'s,O
6,tsunami,O
6,and,O
6,the,O
6,massive,O
6,underwater,O
6,earthquake,O
6,that,O
6,triggered,O
6,it,O
6,has,O
6,affected,O
6,millions,O
6,in,O
6,Asia,B-geo
6,and,O
6,Africa,B-geo
6,.,O
7,Some,O
7,"1,27,000",O
7,people,O
7,are,O
7,known,O
7,dead,O
7,.,O
9,Lebanese,B-gpe
9,politicians,O
9,are,O
9,condemning,O
9,Friday,B-tim
9,'s,O
9,bomb,O
9,blast,O
9,in,O
9,a,O
9,Christian,O
9,neighborhood,O
9,of,O
9,Beirut,B-geo
9,as,O
9,an,O
9,attempt,O
9,to,O
9,sow,O
9,sectarian,O
9,strife,O
9,in,O
9,the,O
9,formerly,O
9,war-torn,O
9,country,O
9,.,O
10,In,O
10,Beirut,B-geo
10,",",O
10,a,O
10,string,O
10,of,O
10,officials,O
10,voiced,O
10,their,O
10,anger,O
10,",",O
10,while,O
10,at,O
10,the,O
10,United,B-org
10,Nations,I-org
10,summit,O
10,in,O
10,New,B-geo
10,York,I-geo
10,",",O
10,Prime,B-per
10,Minister,O
10,Fouad,B-per
10,Siniora,I-per
10,said,O
10,the,O
10,Lebanese,B-gpe
10,people,O
10,are,O
10,resolute,O
10,in,O
10,preventing,O
10,such,O
10,attempts,O
10,from,O
10,destroying,O
10,their,O
10,spirit,O
10,.,O
11,One,O
11,person,O
11,was,O
11,killed,O
11,and,O
11,more,O
11,than,O
11,20,O
11,others,O
11,injured,O
11,in,O
11,the,O
11,bomb,O
11,blast,O
11,late,O
11,Friday,B-tim
11,",",O
11,which,O
11,took,O
11,place,O
11,on,O
11,a,O
11,residential,O
11,street,O
